true_hyp,study_iteration,numerator,denominator,BF,N
nonosp=nonvis=visosp,4,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.1383387275687961,250
nonosp=nonvis=visosp,4,nonosp=nonvis=visosp,nonosp<nonvis<visosp,82.67359410163795,250
nonosp=nonvis=visosp,4,nonosp<nonvis=visosp,nonosp<nonvis<visosp,11.436959811559719,250
nonosp=nonvis=visosp,4,nonosp=nonvis=visosp,nonosp<nonvis=visosp,7.2286337858839875,250
nonosp=nonvis=visosp,4,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.08743582354720408,250
nonosp<nonvis<visosp,4,nonosp=nonvis=visosp,Hc,9.812180793899044e-7,250
nonosp<nonvis<visosp,4,nonosp<nonvis<visosp,Hc,2025.0033003058634,250
nonosp<nonvis<visosp,4,nonosp<nonvis=visosp,Hc,0.30984239350198495,250
nonosp<nonvis<visosp,4,nonosp<nonvis<visosp,nonosp=nonvis=visosp,5569324.511503773,250
nonosp<nonvis<visosp,4,nonosp<nonvis=visosp,nonosp=nonvis=visosp,315773.2210709334,250
nonosp<nonvis<visosp,4,nonosp=nonvis=visosp,nonosp<nonvis<visosp,1.7955498874853498e-7,250
nonosp<nonvis<visosp,4,nonosp<nonvis=visosp,nonosp<nonvis<visosp,0.0566986571564801,250
nonosp<nonvis<visosp,4,nonosp=nonvis=visosp,nonosp<nonvis=visosp,3.166829652649254e-6,250
nonosp<nonvis<visosp,4,nonosp<nonvis<visosp,nonosp<nonvis=visosp,17.637102008256466,250
nonosp<nonvis=visosp,4,nonosp=nonvis=visosp,Hc,3.56860447564731e-4,250
nonosp<nonvis=visosp,4,nonosp<nonvis<visosp,Hc,53.57334550088496,250
nonosp<nonvis=visosp,4,nonosp<nonvis=visosp,Hc,6.61466628057539,250
nonosp<nonvis=visosp,4,nonosp<nonvis<visosp,nonosp=nonvis=visosp,14318.76435807021,250
nonosp<nonvis=visosp,4,nonosp<nonvis=visosp,nonosp=nonvis=visosp,18535.722649329342,250
nonosp<nonvis=visosp,4,nonosp=nonvis=visosp,nonosp<nonvis<visosp,6.983842844207357e-5,250
